ID,Site,Species,RB,Abs15.R1,Abs15.R2,Abs15.R3,Abs30.R1,Abs30.R2,Abs30.R3,Abs60.R1,Abs60.R2,Abs60.R3,Abs90.R1,Abs90.R2,Abs90.R3,Date
PLD-PN-09,Polluted,Protoreaster nodosus,2.58,0.052,0.046,0.046,0.051,0.071,0.056,0.068,0.057,0.06,0.075,0.064,0.06,03/17/2024
PLD-PN-10,Polluted,Protoreaster nodosus,4.11,0.049,0.048,0.054,0.055,0.059,0.059,0.061,0.07,0.06,0.067,0.086,0.06,03/17/2024
PLD-PN-11,Polluted,Protoreaster nodosus,4.25,0.132,0.062,0.052,0.06,0.07,0.066,0.103,0.071,0.063,0.073,0.068,0.063,03/17/2024
PLD-PN-12,Polluted,Protoreaster nodosus,17.09,0,0,0,0.056,0.069,0.125,0.085,0.07,0.073,0.109,0.074,0.076,03/17/2024
PLD-PN-13,Polluted,Protoreaster nodosus,7.41,0.076,0.047,0.048,0.056,0.058,0.065,0.056,0.061,0.074,0.069,0.087,0.063,03/17/2024
PLD-PN-14,Polluted,Protoreaster nodosus,3.36,0,0,0,0.118,0.072,0,0.072,0.076,0.058,0.069,0.058,0.061,03/17/2024
PLD-PN-15,Polluted,Protoreaster nodosus,5.58,0.06,0.051,0.052,0.063,0.071,0.08,0.165,0.085,0.074,0.115,0.159,0.071,03/17/2024
PLD-PN-16,Polluted,Protoreaster nodosus,12.5,0.148,0.097,0.114,0.064,0.066,0.075,0.112,0.086,0.068,0.084,0.145,0.084,03/17/2024
PLD-PN-17,Polluted,Protoreaster nodosus,11.32,0,0,0,0.066,0.083,0,0.074,0.089,0.094,0.14,0.165,0.091,03/17/2024
PLD-PN-18,Polluted,Protoreaster nodosus,8.09,0.069,0.078,0.07,0.159,0.117,0.112,0.074,0.073,0.087,0.06,0.067,0.062,03/17/2024
PLD-PN-19,Polluted,Protoreaster nodosus,9.29,0.056,0.084,0.073,0.148,0.118,0.097,0.077,0.084,0.084,0.112,0.098,0.082,03/17/2024
PLD-PN-20,Polluted,Protoreaster nodosus,9.14,0.052,0.079,0.081,0.137,0.105,0.106,0.081,0.164,0.061,0.078,0.109,0.068,03/17/2024
PLD-LL-01,Polluted,Linckia laevigata,8.05,0.075,0.048,0.126,0.066,0.054,0.053,0.064,0.07,0.062,0.069,0.065,0.059,03/17/2024
PLD-LL-02,Polluted,Linckia laevigata,5.5,0.057,0.048,0.064,0.073,0.061,0.057,0.069,0.068,0.064,0.06,0.07,0.058,03/17/2024
PLD-LL-03,Polluted,Linckia laevigata,8.05,0.055,0.057,0.053,0.063,0.062,0.061,0.074,0.059,0.07,0.116,0.069,0.062,03/17/2024
PLD-LL-04,Polluted,Linckia laevigata,9.45,0.058,0.051,0.051,0.063,0.062,0.054,0.082,0.06,0.069,0.073,0.072,0.079,03/17/2024
PLD-LL-05,Polluted,Linckia laevigata,4.12,0.06,0.053,0.071,0.062,0.06,0.055,0.063,0.064,0.122,0.08,0.055,0.069,03/17/2024
PLD-LL-06,Polluted,Linckia laevigata,7,0.057,0.052,0.055,0.065,0.054,0.051,0.07,0.065,0.071,0.067,0.064,0.071,03/17/2024
PLD-LL-07,Polluted,Linckia laevigata,13.46,0.064,0.054,0.052,0.071,0.061,0.062,0.092,0.087,0.07,0.069,0.075,0.062,03/17/2024
PLD-LL-08,Polluted,Linckia laevigata,5.42,0.061,0.056,0.053,0.065,0.061,0.131,0.078,0.063,0.069,0.058,0.063,0.059,03/17/2024
PLD-LL-09,Polluted,Linckia laevigata,8.46,0.053,0.047,0.07,0.056,0.054,0.072,0.08,0.072,0.07,0.069,0.066,0.072,03/17/2024
PLD-LL-10,Polluted,Linckia laevigata,4.58,0.052,0.053,0.048,0.056,0.058,0.058,0.107,0.073,0.078,0.057,0.07,0.066,03/17/2024
PLD-LL-11,Polluted,Linckia laevigata,7.48,0.063,0.053,0.069,0.081,0.059,0.075,0.094,0.086,0.071,0.077,0.069,0.088,03/17/2024
PLD-LL-12,Polluted,Linckia laevigata,6.11,0.062,0.09,0.058,0.074,0.063,0.078,0.083,0.076,0.085,0.076,0.075,0.062,03/17/2024
PLD-LL-13,Polluted,Linckia laevigata,6.51,0.111,0.054,0.048,0.073,0.051,0.059,0.087,0.067,0.063,0.056,0.066,0.055,03/17/2024
PLD-LL-14,Polluted,Linckia laevigata,3.59,0.063,0.06,0.052,0.088,0.083,0.067,0.099,0.077,0.07,0.06,0.077,0.071,03/17/2024
PLD-LL-15,Polluted,Linckia laevigata,7.58,0.067,0.084,0.052,0.098,0.059,0.071,0.099,0.08,0.093,0.066,0.063,0.096,03/17/2024
PLD-LL-16,Polluted,Linckia laevigata,5.3,0.077,0.058,0.059,0.1,0.079,0.062,0.104,0.092,0.096,0.079,0.086,0.075,03/17/2024
PLD-LL-17,Polluted,Linckia laevigata,15.02,0.124,0.198,0.061,0.073,0.061,3.138,0.096,0.078,0.077,0.074,0.072,0.072,03/17/2024
PLD-LL-18,Polluted,Linckia laevigata,9.56,0.091,0.071,0.063,0.086,0.081,0.099,0.108,0.119,0.078,0.068,0.069,0.079,03/17/2024
PLD-LL-19,Polluted,Linckia laevigata,6.28,0.117,0.062,0.069,0.089,0.067,0.088,0.095,0.085,0.072,0.071,0.071,0.072,03/17/2024
PLD-LL-20,Polluted,Linckia laevigata,9.24,0.084,0.051,0.054,0.091,0.061,0.064,0.069,0.12,0.086,0.1,0.071,0.072,03/17/2024
PR-AT-01,Pristine,Archaster typicus,2.05,0,0,0,0.079,0.071,0,0.067,0.065,0.069,0.105,0.132,0.203,03/20/2024
PR-AT-02,Pristine,Archaster typicus,1.11,0,0,0,0,0,0,0.062,0.049,0,0.066,0.062,0.069,03/20/2024
PR-AT-03,Pristine,Archaster typicus,0.55,0,0,0,0,0,0,0,0,0,0.215,0.106,0,03/20/2024
PR-AT-04,Pristine,Archaster typicus,0.54,0,0,0,0,0,0,0.101,0.089,0.087,0.136,0.198,0.097,03/20/2024
PR-AT-05,Pristine,Archaster typicus,1.21,0,0,0,0,0,0,0.093,0,0,0.121,0.121,0.144,03/20/2024
PR-AT-06,Pristine,Archaster typicus,0.4,0,0,0,0,0,0,0.074,0.076,0.086,0.088,0.076,0.084,03/20/2024
PR-AT-07,Pristine,Archaster typicus,0.57,0.064,0.06,0.059,0.076,0.086,0.105,0.077,0.092,0.071,0.097,0.096,0.087,03/20/2024
PR-AT-08,Pristine,Archaster typicus,0.59,0,0,0,0,0,0,0.144,0.076,0.094,0.096,0.133,0.14,03/20/2024
PR-AT-09,Pristine,Archaster typicus,0.42,0,0,0,0,0,0,0.114,0.084,0,0.111,0.131,0.464,03/20/2024
PR-AT-10,Pristine,Archaster typicus,0.47,0,0,0,0,0,0,0.084,0.596,0.108,0.095,0.106,0.08,03/20/2024
PR-AT-11,Pristine,Archaster typicus,1.03,0,0,0,0.095,0,0,0.103,0.103,0.093,0.107,0.1,0.128,03/20/2024
PR-AT-12,Pristine,Archaster typicus,0.36,0,0,0,0,0,0,0,0,0,0.106,0.111,0.119,03/20/2024
PR-AT-13,Pristine,Archaster typicus,0.47,0,0,0,0,0,0,0.087,0.067,0.722,0.094,0.096,0.085,03/20/2024
PR-AT-14,Pristine,Archaster typicus,0.39,0,0,0,0.102,0,0,0.096,0.081,0.099,0.086,0.113,0.09,03/20/2024
PR-AT-15,Pristine,Archaster typicus,0.34,0,0,0,0.102,0.105,0,0.096,0.083,0.084,0.107,0.126,0.097,03/20/2024
PR-AT-16,Pristine,Archaster typicus,0.32,0,0,0,0,0,0,0.074,0.066,0,0.108,0.109,0.087,03/20/2024
PR-AT-17,Pristine,Archaster typicus,0.49,0,0,0,0.093,0.102,0.094,0.117,0.126,0.12,0.1,0.151,0.119,03/20/2024
PR-AT-18,Pristine,Archaster typicus,0.48,0,0,0,0.131,0.156,0,0.113,0.114,0.217,0.123,0.176,0.112,03/20/2024
PR-AT-19,Pristine,Archaster typicus,0.29,0,0,0,0.09,0,0,0.121,0.095,0.11,0.197,0.314,0.415,03/20/2024
PR-AT-20,Pristine,Archaster typicus,0.23,0,0,0,0,0,0,0,0,0,0.121,0.134,0.087,03/20/2024
PR-PN-01,Pristine,Protoreaster nodosus,3.31,0.07,0.06,0.067,0.061,0.063,0.056,0.06,0.06,0.059,0.053,0.076,0.06,03/20/2024
PR-PN-02,Pristine,Protoreaster nodosus,0.49,0.082,0.07,0.064,0.06,0.053,0.056,0.052,0.058,0.063,0.056,0.071,0.075,03/20/2024
PR-PN-03,Pristine,Protoreaster nodosus,4.27,0.056,0.063,0.064,0.064,0.062,0.062,0.061,0.067,0.058,0.057,0.08,0.063,03/20/2024
PR-PN-04,Pristine,Protoreaster nodosus,5.03,0.082,0.067,0.067,0.074,0.065,0.062,0.069,0.072,0.059,0.063,0.086,0.061,03/20/2024
PR-PN-05,Pristine,Protoreaster nodosus,2.36,0.068,0.068,0.084,0.056,0.049,0.05,0.068,0.07,0.057,0.062,0.067,0.064,03/20/2024
PR-PN-06,Pristine,Protoreaster nodosus,4.25,0.057,0.062,0.059,0.102,0.066,0.071,0.065,0.056,0.056,0.059,0.06,0.064,03/20/2024
PR-PN-07,Pristine,Protoreaster nodosus,2.08,0.074,0.064,0.08,0.072,0.062,0.064,0.063,0.062,0.081,0.054,0.062,0.06,03/20/2024
PR-PN-08,Pristine,Protoreaster nodosus,3.54,0.064,0.103,0.08,0.06,0.061,0.066,0.062,0.077,0.066,0.073,0.069,0.058,03/20/2024
PR-PN-09,Pristine,Protoreaster nodosus,5.54,0.076,0.059,0.097,0.062,0.054,0.06,0.065,0.092,0.07,0.07,0.073,0.068,03/20/2024
PR-PN-10,Pristine,Protoreaster nodosus,5.25,0.064,0.06,0.076,0.175,0.055,0.065,0.07,0.132,0.067,0.077,0.088,0.101,03/20/2024
PR-PN-11,Pristine,Protoreaster nodosus,6.51,0.081,0.069,0.087,0.091,0.069,0.082,0.069,0.083,0.065,0.073,0.107,0.083,03/20/2024
PR-PN-12,Pristine,Protoreaster nodosus,4.04,0.059,0.059,0.069,0.071,0.068,0.082,0.078,0.08,0.062,0.069,0.078,0.081,03/20/2024
PR-PN-13,Pristine,Protoreaster nodosus,3.32,0.104,0.062,0.072,0.062,0.061,0.057,0.076,0.078,0.074,0.07,0.085,0.07,03/20/2024
PR-PN-14,Pristine,Protoreaster nodosus,4.04,0.092,0.078,0.07,0.061,0.066,0.071,0.068,0.092,0.086,0.064,0.084,0.08,03/20/2024
PR-PN-15,Pristine,Protoreaster nodosus,3.57,0.119,0.068,0.07,0.06,0.07,0.072,0.064,0.077,0.088,0.079,0.081,0.079,03/20/2024
PR-PN-16,Pristine,Protoreaster nodosus,2.47,0.109,0.067,0.07,0.069,0.064,0.063,0.121,0.082,0.077,0.075,0.086,0.075,03/20/2024
PR-PN-17,Pristine,Protoreaster nodosus,3.44,0.098,0.062,0.089,0.061,0.072,0.067,0.13,0.213,0.131,0.069,0.085,0.078,03/20/2024
PR-PN-18,Pristine,Protoreaster nodosus,3.53,0.112,0.107,0.089,0.069,0.064,0.075,0.12,0.133,0.176,0.073,0.094,0.077,03/20/2024
PR-PN-19,Pristine,Protoreaster nodosus,2.58,0.136,0.071,0.083,0.085,0.079,0.087,0.075,0.143,0.169,0.093,0.182,0.109,03/20/2024
PR-PN-20,Pristine,Protoreaster nodosus,6,0.116,0.086,0.095,0.067,0.068,0.098,0.117,0.119,0.082,0.077,0.078,0.097,03/20/2024
PR-LL-01,Pristine,Linckia laevigata,10.37,0.057,0.056,0.062,0.052,0.055,0.064,0.057,0.054,0.058,0.057,0.052,0.052,03/20/2024
PR-LL-02,Pristine,Linckia laevigata,10.59,0.102,0.117,0.076,0.067,0.083,0.109,0.055,0.063,0.068,0.061,0.071,0.067,03/20/2024
PR-LL-03,Pristine,Linckia laevigata,9.29,0.058,0.059,0.069,0.059,0.056,0.06,0.052,0.057,0.052,0.06,0.054,0.055,03/20/2024
PR-LL-04,Pristine,Linckia laevigata,6.59,0.066,0.064,0.074,0.053,0.056,0.063,0.051,0.052,0.051,0.07,0.058,0.056,03/20/2024
PR-LL-05,Pristine,Linckia laevigata,14.31,0.068,0.055,0.079,0.047,0.054,0.057,0.057,0.051,0.056,0.066,0.054,0.062,03/20/2024
PR-LL-06,Pristine,Linckia laevigata,10.27,0.068,0.066,0.091,0.064,0.058,0.063,0.055,0.065,0.054,0.066,0.067,0.062,03/20/2024
PR-LL-07,Pristine,Linckia laevigata,6.38,0.079,0.073,0.074,0.057,0.063,0.06,0.062,0.067,0.062,0.061,0.063,0.07,03/20/2024
PR-LL-08,Pristine,Linckia laevigata,7.26,0.059,0.06,0.077,0.059,0.064,0.058,0.061,0.059,0.056,0.063,0.062,0.06,03/20/2024
PR-LL-09,Pristine,Linckia laevigata,11.26,0.058,0.056,0.064,0.051,0.053,0.053,0.057,0.061,0.082,0.062,0.06,0.054,03/20/2024
PR-LL-10,Pristine,Linckia laevigata,10.23,0.073,0.084,0.069,0.06,0.064,0.064,0.056,0.059,0.059,0.06,0.063,0.059,03/20/2024
PR-LL-11,Pristine,Linckia laevigata,21.03,0.061,0.06,0.085,0.062,0.071,0.077,0.063,0.063,0.061,0.072,0.066,0.071,03/20/2024
PR-LL-12,Pristine,Linckia laevigata,9.52,0.075,0.071,0.073,0.075,0.057,0.068,0.076,0.057,0.056,0.072,0.066,0.062,03/20/2024
PR-LL-13,Pristine,Linckia laevigata,9.55,0.062,0.065,0.084,0.071,0.064,0.121,0.09,0.067,0.086,0.059,0.066,0.064,03/20/2024
PR-LL-14,Pristine,Linckia laevigata,12.09,0.081,0.066,0.07,0.077,0.074,0.087,0.066,0.068,0.07,0.059,0.081,0.063,03/20/2024
PR-LL-15,Pristine,Linckia laevigata,8.46,0.105,0.086,0.107,0.08,0.084,0.081,0.065,0.092,0.075,0.063,0.091,0.08,03/20/2024
PR-LL-16,Pristine,Linckia laevigata,7.12,0.123,0.091,0.201,0.141,0.098,0.185,0.095,0.108,0.094,0.093,0.12,0.131,03/20/2024
PR-LL-17,Pristine,Linckia laevigata,9.34,0.139,0.083,0.224,0.08,0.078,0.14,0.115,0.12,0.236,0.137,0.104,0.093,03/20/2024
PR-LL-18,Pristine,Linckia laevigata,8.26,0.107,0.076,0.161,0.108,0.113,0.129,0.096,0.137,0.125,0.13,0.102,0.124,03/20/2024
PR-LL-19,Pristine,Linckia laevigata,10.14,0.174,0.131,0.203,0.141,0.081,0.184,0.137,0.114,0.139,0.129,0.115,0.151,03/20/2024
PR-LL-20,Pristine,Linckia laevigata,6.7,0.142,0.162,0.176,0.164,0.18,0.217,0.103,0.117,0.094,0.137,0.159,0.138,03/20/2024
